latitude;longitude;date
2.806;116.994;39715
2.805;116.985;39715
2.8;116.885;39715
-0.839;117.273;39715
-1.176;114.888;39715
-1.177;114.901;39715
-1.174;114.896;39715
0.926;111.115;39716
0.862;111.533;39716
0.919;111.109;39716
0.858;111.527;39716
0.759;111.514;39716
0.843;110.911;39716
0.755;111.506;39716
-3.427;115.05;39716
-3.417;115.041;39716
-2.772;112.398;39716
-2.792;110.419;39716
-2.227;111.443;39716
-1.435;113.889;39716
-1.764;111.615;39716
1.093;112.708;39716
1.99;117.393;39717
1.99;117.145;39717
1.577;118.129;39717
0.141;117.246;39717
-0.173;117.128;39717
-0.217;117.115;39717
-0.287;116.842;39717
-2.262;114.989;39717
-2.263;115;39717
-3.109;114.148;39717
-3.428;115.046;39717
-3.607;115.93;39717
-3.361;113.921;39717
-3.363;113.932;39717
-3.762;116.297;39717
-3.76;116.306;39717
-3.762;116.292;39717
-2.91;116.232;39717
-2.721;112.602;39717
-2.683;111.248;39717
-2.677;111.242;39717
-2.474;111.207;39717
-2.301;112.244;39717
-2.467;111.202;39717
-2.303;112.24;39717
-2.378;111.714;39717
-1.706;115.583;39717
-1.709;115.568;39717
-1.695;115.581;39717
-1.697;115.567;39717
-1.716;115.431;39717
-1.723;115.385;39717
-1.65;115.585;39717
-1.603;115.67;39717
-2.136;111.913;39717
-2.14;111.884;39717
-2.1;112.056;39717
-2.195;111.255;39717
-2.102;112.049;39717
-2.199;111.282;39717
-2.204;111.249;39717
-1.95;112.474;39717
-1.562;115.142;39717
-2.041;111.71;39717
-2.045;111.68;39717
-1.997;111.916;39717
-1.95;112.469;39717
-2.047;111.706;39717
-2.001;111.913;39717
-1.518;114.982;39717
-1.606;114.359;39717
-2.019;111.449;39717
-1.911;112.104;39717
-1.485;115.044;39717
-2.005;111.473;39717
-1.433;115.095;39717
-1.901;111.522;39717
-1.903;111.394;39717
-1.908;111.361;39717
-1.904;111.549;39717
-1.911;111.389;39717
-1.763;112.295;39717
-1.111;116.693;39717
